_id,first_name,last_name,active,turned_pro,retired,country,country_yr,prev_country,prev_country_yr,dob,right_handed,backhand,cm,ft,coaches,preferred_surface,age_started,career_high,date,pm_USD,titles,win,loss,gladiator,headshot,ao_round,ao_years,rg_round,rg_years,w_round,w_years,uso_round,uso_years,finals_round,finals_years,olympics_round,olympics_years,wct_round,wct_years,gs_cup_round,gs_cup_years,davis_round,davis_years,hopman_round,hopman_years
kc12,Mitchell,Krueger,true,2012,,USA,,,,1994-01-12,true,2,188,6'2",[Craig Kardon],[hard],3,135,2022-07-18,1248251,0,8,19,true,true,1st round,[2019],,,,,2nd round,[2020]
n0be,Adam,Neff,true,,,USA,,,,2001-05-30,true,2,183,6'0",[Grant Chen],[hard],6,827,2023-11-27,20395,0,0,1,false,true
mp01,Michael,Mmoh,true,2016,,USA,,,,1998-01-10,true,2,188,6'2",[Andres Alarcon],[hard],3,81,2023-09-11,2164376,0,27,39,true,true,3rd round,[2023],1st round,[2020:2022:2023],2nd round,[2023],3rd round,[2023]
q02l,Ethan,Quinn,true,2023,,USA,,,,2004-03-12,true,2,191,6'3",[Brad Stine:Nick Papac],,,253,2024-03-18,259671,0,1,5,true,true,,,,,,,1st round,[2023]
a014,John,Alexander,false,1967,1984,AUS,,,,1951-07-04,true,1,191,6'3",,,,8,1975-12-15,1214079,8,591,434,false,false,Semifinals,[1974:19771:19772],4th round,[1975:1978:1983],4th round,[1969:1978],4th round,[1971:1973],,,,,Semifinals,[1975],,,Win,[1977],,
a022,Vijay,Amritraj,false,1970,1993,IND,,,,1953-12-14,true,1,193,6'4",,,,18,1980-10-20,1330503,15,405,312,false,false,2nd round,[1984],3rd round,[1974],Quarterfinals,[1973:1981],Quarterfinals,[1973:1974],,,,,Semifinals,[1982],,,Final,[1974:1987],,
s0k7,Zachary,Svajda,true,2019,,USA,,,,2002-11-29,true,2,175,5'9",[David Nainkin:Rhyne Williams],,,136,2024-03-18,586735,0,3,9,true,true,,,,,,,2nd round,[2021]
a056,Terry,Addison,false,1966,1975,AUS,,,,1946-01-11,true,,180,5'11",,,,100,1973-10-15,0,0,65,115,false,false,3rd round,[1968],2nd round,[1970:1971],3rd round,[1967:1969],,,,,,,,,,,,,,
a092,Andre,Agassi,false,1986,2006,USA,,,,1970-04-29,true,2,180,5'11",[Darren Cahill],,4,1,1995-04-10,31152975,60,870,274,true,true,Win,[1995:2000:2001:2003],Win,[1999],Win,[1992],Win,[1994:1999],Win,[1990],Gold,[1996],,,Final,[1998],Win,[1990:1992:1995],,
a0ab,Adrian,Andreev,true,2016,,BUL,,,,2001-05-12,true,2,180,5'11",,,,183,2023-09-18,332227,0,2,7,true,true,,,,,,,,,,,,,,,,,,,,
a0cj,Duje,Ajdukovic,true,2018,,CRO,,,,2001-02-05,true,2,188,6'2",[Frane Nincevic],,5,117,2024-03-18,293576,0,2,5,false,true,,,,,,,,,,,,,,,,,,,,
a0e2,Carlos,Alcaraz,true,2018,,ESP,,,,2003-05-05,true,2,183,6'0",[Juan Carlos Ferrero],[clay],4,1,2022-09-12,27477147,13,167,46,true,true,Quarterfinals,[2024],Semifinals,[2023],Win,[2023],Win,[2022],Semifinals,[2023],,,,,,,,,,
a0fc,Matteo,Arnaldi,true,2019,,ITA,,,,2001-02-22,true,2,185,6'1",[Alessandro Petrone],[hard],5,38,2024-01-29,1434521,0,27,26,true,true,2nd round,[2024],2nd round,[2023],1st round,[2023],4th round,[2023],,,,,,,,,Win,[2023],,
a0gc,Terence,Atmane,true,,,FRA,,,,2002-01-09,false,2,193,6'4",[Boule Robin],[hard],6,129,2024-03-18,325535,0,1,6,true,true,1st round,[2024],,,,,,,,,,,,,,,,,,
a121,William,Alvarez,false,1957,1971,COL,,,,1934-12-15,true,,178,5'10",,,,,,,0,16,30,false,false,,,3rd round,[1961],2nd round,[1958:1961],,,,,,,,,,,,,,
a199,Chuck,Adams,false,1990,1997,USA,,,,1971-04-23,true,,185,6'1",[David Smith],,,34,1995-02-06,818519,0,83,93,false,false,2nd round,[1996],1st round,[1993:1994],3rd round,[1994],4th round,[1993],,,,,,,,,,,,
a385,Mario,Ancic,false,2001,2011,CRO,,,,1984-03-30,true,2,196,6'5",[Fredrik Rosengren],[hard],7,7,2006-07-10,4024686,3,208,135,false,true,4th round,[2003:2007],Quarterfinals,[2006],Semifinals,[2004],2nd round,[2005],Alternate,[2006],1st round,[2004],,,,,Win,[2005],,
a427,Alfredo,Acuna,false,1967,1976,PER,,,,1946-11-22,,,,,,,,,,,0,0,10,false,false,,,1st round,[1968],,,,,,,,,,,,,,,,
a511,Igor,Andreev,false,2002,2013,RUS,,,,1983-07-14,true,2,185,6'1",[Francisco Fogues],[clay:hard],7,18,2008-11-03,4510376,3,237,231,false,true,3rd round,[2006:2008:2009],Quarterfinals,[2007],4th round,[2009],4th round,[2008],,,3rd round,[2004:2008],,,,,Win,[2006],,
a596,Pablo,Andujar,false,2003,2023,ESP,,,,1986-01-23,true,2,180,5'11",[Marcos Esparcia],[clay],6,32,2015-07-13,7034571,4,163,242,true,true,3rd round,[2022],3rd round,[2015],3rd round,[2015],4th round,[2019],,,1st round,[2020],,,,,,,,
a622,Andrea,Arnaboldi,false,2006,2023,ITA,,,,1987-12-27,false,1,180,5'11",,[hard],5,153,2015-10-12,1014753,0,4,10,false,true,,,2nd round,[2015],1st round,[2019],,,,,,,,,,,,,,
a678,Kevin,Anderson,true,2007,,RSA,,,,1986-05-18,true,2,203,6'8",[Diego Moyano:Jay Bosworth],[hard],6,5,2018-07-16,17791917,7,356,255,true,true,4th round,[2013:2014:2015],4th round,[2013:2014:2017:2018],Final,[2018],Final,[2017],Semifinals,[2018],2nd round,[2008],,,,,,,Round robin,[2013]
a829,Radu,Albot,true,2008,,MDA,,,,1989-11-11,true,2,175,5'9",[Burghard Riehemann:Vladimir Albot],[hard:clay],8,39,2019-08-05,5073113,1,103,142,true,true,2nd round,[2021:2022],2nd round,[2018:2019:2020:2023],3rd round,[2018],3rd round,[2017],,,,,,,,,,,,
ab71,JC,Aragone,true,2017,,USA,,,,1995-06-28,true,2,178,5'10",,[hard],5,224,2018-12-17,284679,0,0,4,false,true,,,,,,,1st round,[2017],,,,,,,,,,,,
ae14,Daniel,Altmaier,true,2014,,GER,,,,1998-09-12,true,1,188,6'2",[Alberto Mancini],[clay],5,47,2023-10-02,2602211,0,35,66,true,true,1st round,[2022:2023:2024],4th round,[2020],1st round,[2022:2023],2nd round,[2023],,,,,,,,,,,,
